time,pos_x,pos_z,rot_y
1819.136,-4.5,-4.5,45
1819.147,-4.4841,-4.4841,45
1819.156,-4.4717,-4.4717,45
1819.164,-4.46,-4.46,45
1819.173,-4.4482,-4.4482,45
1819.181,-4.4364,-4.4364,45
1819.19,-4.4237,-4.4237,45
1819.198,-4.4119,-4.4119,45
1819.207,-4.4001,-4.4001,45
1819.215,-4.3881,-4.3881,45
1819.224,-4.3763,-4.3763,45
1819.232,-4.3643,-4.3643,45
1819.242,-4.3507,-4.3507,45
1819.254,-4.3335,-4.3335,45
1819.264,-4.3197,-4.3197,45
1819.272,-4.3079,-4.3079,45
1819.28,-4.2961,-4.2961,45
1819.289,-4.2843,-4.2843,45
1819.297,-4.2725,-4.2725,45
1819.306,-4.2597,-4.2597,45
1819.315,-4.2472,-4.2472,45
1819.324,-4.2339,-4.2339,45
1819.333,-4.2207,-4.2207,45
1819.342,-4.2089,-4.2089,45
1819.35,-4.1971,-4.1971,45
1819.359,-4.1852,-4.1852,45
1819.367,-4.1729,-4.1729,45
1819.376,-4.1611,-4.1611,45
1819.384,-4.1493,-4.1493,45
1819.394,-4.1349,-4.1349,45
1819.403,-4.1231,-4.1231,45
1819.411,-4.111,-4.111,45
1819.42,-4.0984,-4.0984,45
1819.428,-4.0866,-4.0866,45
1819.437,-4.0748,-4.0748,45
1819.445,-4.063,-4.063,45
1819.454,-4.0498,-4.0498,45
1819.463,-4.0381,-4.0381,45
1819.471,-4.0263,-4.0263,45
1819.479,-4.0145,-4.0145,45
1819.488,-4.0023,-4.0023,45
1819.497,-3.9891,-3.9891,44.9778
1819.506,-3.9767,-3.9766,44.9372
1819.514,-3.9649,-3.9648,44.881
1819.523,-3.9532,-3.953,44.807
1819.531,-3.9414,-3.9412,44.7154
1819.539,-3.9297,-3.9293,44.606
1819.548,-3.917,-3.9163,44.4659
1819.557,-3.9051,-3.9042,44.3163
1819.566,-3.8932,-3.8919,44.1471
1819.574,-3.8817,-3.8799,43.9645
1819.582,-3.8701,-3.8679,43.7642
1819.591,-3.8587,-3.8558,43.5462
1819.599,-3.8472,-3.8437,43.3105
1819.607,-3.8358,-3.8315,43.0571
1819.616,-3.8245,-3.8193,42.7859
1819.624,-3.8133,-3.807,42.4971
1819.632,-3.8021,-3.7946,42.1905
1819.641,-3.7909,-3.7822,41.8658
1819.649,-3.7799,-3.7697,41.5242
1819.657,-3.7689,-3.7572,41.1639
1819.666,-3.758,-3.7445,40.7865
1819.674,-3.7472,-3.7318,40.3913
1819.682,-3.7365,-3.7191,39.9785
1819.691,-3.7259,-3.7062,39.548
1819.7,-3.7144,-3.6921,39.0574
1819.708,-3.7041,-3.6791,38.5908
1819.716,-3.6938,-3.666,38.1056
1819.725,-3.6836,-3.6528,37.6027
1819.733,-3.6736,-3.6395,37.0819
1819.742,-3.6631,-3.6253,36.5112
1819.75,-3.6533,-3.6118,35.9543
1819.758,-3.6436,-3.5982,35.3794
1819.767,-3.6341,-3.5845,34.7855
1819.775,-3.6247,-3.5707,34.1753
1819.783,-3.6155,-3.5568,33.5473
1819.792,-3.6065,-3.5428,32.9016
1819.801,-3.5969,-3.5276,32.1854
1819.809,-3.5882,-3.5134,31.5029
1819.818,-3.5797,-3.4991,30.8027
1819.826,-3.5709,-3.484,30.0615
1819.835,-3.5621,-3.4683,29.2932
1819.844,-3.5541,-3.4536,28.5838
1819.852,-3.5463,-3.4389,27.8754
1819.861,-3.5381,-3.4228,27.1081
1819.869,-3.5306,-3.4076,26.3886
1819.879,-3.5224,-3.3905,25.6049
1819.888,-3.5147,-3.3741,24.8791
1819.896,-3.5079,-3.3589,24.229
1819.905,-3.5013,-3.3437,23.5954
1819.913,-3.4947,-3.3283,22.9795
1819.921,-3.4883,-3.3126,22.3688
1819.932,-3.4806,-3.2939,22.3688
1819.941,-3.4736,-3.277,22.3901
1819.949,-3.4673,-3.2616,22.4272
1819.957,-3.4609,-3.2462,22.482
1819.966,-3.4545,-3.2308,22.5546
1819.974,-3.4481,-3.2154,22.6448
1819.982,-3.4416,-3.2,22.7528
1819.991,-3.4351,-3.1847,22.8784
1819.999,-3.4285,-3.169,23.0255
1820.008,-3.4219,-3.1537,23.187
1820.016,-3.4153,-3.1384,23.3662
1820.024,-3.4086,-3.1231,23.5631
1820.033,-3.4013,-3.1065,23.7976
1820.042,-3.3946,-3.0913,24.0315
1820.05,-3.3877,-3.0761,24.283
1820.058,-3.3807,-3.0608,24.5548
1820.067,-3.3737,-3.0457,24.8419
1820.075,-3.3666,-3.0306,25.1475
1820.084,-3.359,-3.0146,25.4903
1820.092,-3.3517,-2.9995,25.835
1820.101,-3.3443,-2.9845,26.1942
1820.117,-3.3292,-2.9549,26.9823
1820.126,-3.3216,-2.9401,27.3946
1820.134,-3.3134,-2.9247,27.8451
1820.145,-3.3032,-2.9059,28.426
1820.156,-3.2928,-2.8871,29.0391
1820.165,-3.2833,-2.8704,29.614
1820.175,-3.2731,-2.8529,30.2426
1820.185,-3.2636,-2.837,30.8391
1820.194,-3.2542,-2.8215,31.4462
1820.204,-3.2432,-2.8041,32.1616
1820.213,-3.2334,-2.789,32.8089
1820.222,-3.2233,-2.7737,33.4884
1820.232,-3.2127,-2.758,34.2112
1820.24,-3.2032,-2.7444,34.8667
1820.249,-3.1931,-2.7303,35.5637
1820.257,-3.1833,-2.7169,36.2553
1820.266,-3.1725,-2.7026,37.0155
1820.275,-3.1609,-2.6876,37.8211
1820.285,-3.1488,-2.6725,38.6459
1820.294,-3.1369,-2.658,39.4413
1820.304,-3.1246,-2.6435,40.2486
1820.315,-3.11,-2.6268,41.1916
1820.326,-3.0955,-2.6108,42.1112
1820.334,-3.0837,-2.5981,42.8457
1820.344,-3.0714,-2.5851,43.6085
1820.352,-3.059,-2.5725,44.3593
1820.361,-3.0472,-2.5607,45.0677
1820.369,-3.0353,-2.5491,45.776
1820.377,-3.0232,-2.5376,46.4844
1820.386,-3.0109,-2.5263,47.1949
1820.395,-2.9977,-2.5143,47.9519
1820.406,-2.9809,-2.4997,48.8972
1820.416,-2.965,-2.4862,49.7851
1820.424,-2.9521,-2.4756,50.4935
1820.433,-2.9391,-2.4652,51.2029
1820.441,-2.926,-2.4549,51.9115
1820.449,-2.9127,-2.4447,52.6213
1820.458,-2.8986,-2.4342,53.3697
1820.467,-2.8851,-2.4245,54.078
1820.475,-2.8715,-2.4148,54.7863
1820.484,-2.8568,-2.4048,55.5429
1820.492,-2.8429,-2.3955,56.2512
1820.5,-2.829,-2.3864,56.9596
1820.51,-2.8139,-2.3769,57.7177
1820.518,-2.7992,-2.3679,58.4513
1820.527,-2.7844,-2.3591,59.181
1820.536,-2.7691,-2.3502,59.931
1820.544,-2.7542,-2.3418,60.6599
1820.552,-2.7396,-2.3338,61.3682
1820.564,-2.7197,-2.3234,62.2908
1820.573,-2.7035,-2.3151,63.0162
1820.581,-2.6885,-2.3077,63.6654
1820.592,-2.6691,-2.2981,63.6654
1820.6,-2.6541,-2.2907,63.6476
1820.609,-2.6381,-2.2828,63.6083
1820.618,-2.6233,-2.2754,63.5537
1820.626,-2.6087,-2.2681,63.4753
1820.635,-2.5961,-2.2618,63.3824
1820.643,-2.5847,-2.2561,63.2733
1820.652,-2.5745,-2.2509,63.1464
1820.66,-2.565,-2.2461,62.9939
1820.669,-2.5571,-2.242,62.8307
1820.677,-2.5503,-2.2385,62.6499
1820.685,-2.5447,-2.2355,62.4514
1820.694,-2.5399,-2.233,62.219
1820.703,-2.5365,-2.2312,61.9838
1820.711,-2.5343,-2.23,61.7309
1820.719,-2.5332,-2.2294,61.4604
1820.728,-2.5332,-2.2294,61.1721
1820.736,-2.5332,-2.2294,60.862
1820.744,-2.5332,-2.2294,60.538
1820.753,-2.5332,-2.2294,60.1958
1820.761,-2.5332,-2.2294,59.837
1820.769,-2.5332,-2.2294,59.4599
1820.779,-2.5332,-2.2294,59.0209
1820.787,-2.5332,-2.2294,58.5796
1820.796,-2.5332,-2.2294,58.1464
1820.804,-2.5332,-2.2294,57.6956
1820.812,-2.5332,-2.2294,57.2267
1820.821,-2.5332,-2.2294,56.7403
1820.829,-2.5332,-2.2294,56.2363
1820.837,-2.5332,-2.2294,55.7146
1820.846,-2.5332,-2.2294,55.1751
1820.854,-2.5332,-2.2294,54.618
1820.862,-2.5332,-2.2294,54.0431
1820.871,-2.5332,-2.2294,53.4505
1820.879,-2.5332,-2.2294,52.8198
1820.888,-2.5332,-2.2294,52.1912
1820.896,-2.5332,-2.2294,51.5446
1820.904,-2.5332,-2.2294,50.8806
1820.915,-2.5332,-2.2294,49.9948
1820.925,-2.5304,-2.227,49.1653
1820.933,-2.5272,-2.2242,48.4569
1820.942,-2.5231,-2.2204,47.7485
1820.95,-2.5181,-2.2158,47.0399
1820.959,-2.5118,-2.2098,46.2879
1820.967,-2.5051,-2.2032,45.578
1820.975,-2.4976,-2.1957,44.8711
1820.984,-2.4893,-2.1871,44.1628
1820.992,-2.4802,-2.1775,43.4513
1821.001,-2.4702,-2.1667,42.7316
1821.009,-2.4594,-2.1547,42.0032
1821.018,-2.4484,-2.1421,41.2907
1821.026,-2.4375,-2.1295,40.5823
1821.034,-2.4268,-2.1167,39.874
1821.042,-2.4163,-2.1038,39.1656
1821.051,-2.4059,-2.0907,38.4571
1821.059,-2.3957,-2.0775,37.7488
1821.068,-2.3857,-2.0642,37.0405
1821.076,-2.3757,-2.0506,36.3228
1821.084,-2.366,-2.0371,35.6144
1821.094,-2.3554,-2.0219,34.8289
1821.102,-2.3461,-2.0081,34.1205
1821.11,-2.3369,-1.9942,33.4113
1821.119,-2.3279,-1.9801,32.7029
1821.127,-2.3191,-1.966,31.9946
1821.135,-2.3104,-1.9518,31.2863
1821.144,-2.3019,-1.9374,30.5779
1821.152,-2.2932,-1.9223,29.8363
1821.161,-2.2851,-1.9077,29.1281
1821.169,-2.2772,-1.8931,28.4198
1821.177,-2.2694,-1.8783,27.7114
1821.186,-2.2619,-1.8635,27.003
1821.194,-2.2543,-1.8482,26.2806
1821.203,-2.2472,-1.8332,25.5723
1821.211,-2.2399,-1.8176,24.8414
1821.22,-2.2329,-1.8018,24.1062
1821.228,-2.2262,-1.7865,23.3978
1821.236,-2.2198,-1.7711,22.6895
1821.245,-2.2136,-1.7557,21.9812
1821.254,-2.207,-1.7388,21.2136
1821.263,-2.2005,-1.7213,20.4184
1821.271,-2.1949,-1.7056,19.71
1821.28,-2.1895,-1.6898,19.0017
1821.288,-2.1842,-1.674,18.2924
1821.297,-2.179,-1.6575,17.5577
1821.307,-2.1732,-1.6382,16.7011
1821.317,-2.1678,-1.6193,15.8659
1821.326,-2.163,-1.6014,15.0764
1821.335,-2.1585,-1.5835,14.2925
1821.344,-2.1546,-1.5673,13.5842
1821.352,-2.1508,-1.551,12.8758
1821.36,-2.1473,-1.5347,12.1644
1821.369,-2.144,-1.5184,11.4561
1821.377,-2.1409,-1.502,10.7476
1821.385,-2.138,-1.4856,10.0394
1821.394,-2.1353,-1.4691,9.3292
1821.402,-2.1328,-1.4526,8.6208
1821.411,-2.1302,-1.4338,7.8157
1821.421,-2.1279,-1.4153,7.0242
1821.429,-2.1261,-1.3988,6.3159
1821.437,-2.1245,-1.3822,5.6075
1821.446,-2.1229,-1.3643,4.8452
1821.455,-2.1217,-1.3477,4.1368
1821.463,-2.1207,-1.3311,3.4284
1821.471,-2.12,-1.3142,2.713
1821.49,-2.1192,-1.2775,1.1506
1821.498,-2.1191,-1.2604,0.4227
1821.508,-2.1192,-1.2417,359.6508
1821.517,-2.1196,-1.2228,358.8948
1821.525,-2.1201,-1.2062,358.244
1821.534,-2.1208,-1.1895,357.611
1821.542,-2.1216,-1.1729,356.9954
1821.55,-2.1227,-1.1562,356.3972
1821.559,-2.124,-1.1389,355.7933
1821.568,-2.1254,-1.1223,355.2319
1821.576,-2.1269,-1.1057,354.6882
1821.584,-2.1286,-1.089,354.1603
1821.593,-2.1306,-1.0711,353.6106
1821.602,-2.1326,-1.0543,353.1142
1821.61,-2.1348,-1.0377,352.6431
1821.618,-2.137,-1.0212,352.1898
1821.627,-2.1394,-1.0047,351.7541
1821.635,-2.1419,-0.9882,351.3362
1821.643,-2.1446,-0.9718,350.9359
1821.652,-2.1473,-0.9553,350.5535
1821.66,-2.1502,-0.9386,350.1829
1821.668,-2.1531,-0.9222,349.8362
1821.678,-2.1566,-0.9037,349.4673
1821.686,-2.1597,-0.8874,349.1582
1821.695,-2.1629,-0.871,348.8664
1821.703,-2.1662,-0.8547,348.5928
1821.711,-2.1697,-0.8379,348.3304
1821.72,-2.1734,-0.8203,348.0752
1821.729,-2.1771,-0.8033,347.8486
1821.737,-2.1806,-0.7871,347.6484
1821.746,-2.1842,-0.7708,347.4659
1821.755,-2.1881,-0.7538,347.295
1821.763,-2.1918,-0.7376,347.1487
1821.771,-2.1955,-0.7214,347.0201
1821.78,-2.1993,-0.7051,346.9091
1821.788,-2.2031,-0.6889,346.8159
1821.796,-2.207,-0.6721,346.7386
1821.805,-2.2109,-0.6559,346.6814
1821.813,-2.2148,-0.6394,346.6416
1821.822,-2.2187,-0.623,346.6201
1821.83,-2.2226,-0.6068,346.6165
1821.838,-2.2264,-0.5905,346.6165
1821.847,-2.2303,-0.5743,346.6165
1821.856,-2.2346,-0.5563,346.6165
1821.864,-2.2384,-0.54,346.6165
1821.873,-2.2423,-0.5238,346.6165
1821.881,-2.2462,-0.5076,346.6165
1821.89,-2.2501,-0.4911,346.6165
1821.898,-2.254,-0.4746,346.6165
1821.906,-2.2579,-0.4584,346.6165
1821.915,-2.2617,-0.4422,346.6165
1821.923,-2.2656,-0.4258,346.6165
1821.931,-2.2695,-0.4096,346.6165
1821.94,-2.2734,-0.3933,346.6165
1821.948,-2.2772,-0.3771,346.6165
1821.956,-2.2811,-0.3608,346.6165
1821.965,-2.2849,-0.3446,346.6165
1821.973,-2.2889,-0.3281,346.6165
1821.982,-2.2927,-0.3119,346.6165
1821.99,-2.2966,-0.2957,346.6165
1821.998,-2.3004,-0.2794,346.6165
1822.008,-2.3051,-0.26,346.6165
1822.017,-2.309,-0.2436,346.6165
1822.025,-2.3128,-0.2274,346.6165
1822.033,-2.3167,-0.2109,346.6165
1822.043,-2.321,-0.1932,346.6165
1822.051,-2.3248,-0.177,346.6165
1822.059,-2.3287,-0.1608,346.6165
1822.068,-2.3325,-0.1445,346.6165
1822.076,-2.3366,-0.1275,346.6165
1822.085,-2.3405,-0.1113,346.6165
1822.093,-2.3443,-0.0951,346.6165
1822.101,-2.3482,-0.0788,346.6165
1822.111,-2.3528,-0.0592,346.6165
1822.12,-2.3567,-0.043,346.6165
1822.128,-2.3606,-0.0268,346.6165
1822.136,-2.3644,-0.0106,346.6165
1822.145,-2.3686,0.007,346.6165
1822.155,-2.3728,0.0246,346.6376
1822.164,-2.3769,0.0422,346.6792
1822.173,-2.3811,0.06,346.7427
1822.181,-2.3849,0.0762,346.8183
