time,pos_x,pos_z,rot_y
1781.604,-4.5,-4.5,45
1781.617,-4.4027,-4.4027,45
1781.625,-4.3909,-4.3909,45
1781.634,-4.379,-4.379,45
1781.642,-4.3672,-4.3672,45
1781.65,-4.3554,-4.3554,45
1781.659,-4.3436,-4.3436,45
1781.667,-4.3318,-4.3318,45
1781.675,-4.32,-4.32,45
1781.684,-4.3083,-4.3083,45
1781.692,-4.2965,-4.2965,45
1781.7,-4.2847,-4.2847,45
1781.71,-4.2705,-4.2705,45
1781.719,-4.2577,-4.2577,45
1781.728,-4.2459,-4.2459,45
1781.736,-4.2384,-4.2384,45
1781.746,-4.2384,-4.2384,45
1781.756,-4.2384,-4.2384,45
1781.764,-4.2384,-4.2384,45
1781.772,-4.2384,-4.2384,45
1781.781,-4.2384,-4.2384,45
1781.789,-4.2384,-4.2384,45
1781.797,-4.2384,-4.2384,45
1781.806,-4.2384,-4.2384,45
1781.814,-4.2384,-4.2384,45
1781.823,-4.2384,-4.2384,45
1781.831,-4.2384,-4.2384,45
1781.84,-4.2384,-4.2384,45
1781.848,-4.2384,-4.2384,45
1781.856,-4.2384,-4.2384,45
1781.865,-4.2384,-4.2384,45
1781.873,-4.2384,-4.2384,45
1781.882,-4.2384,-4.2384,45
1781.89,-4.2384,-4.2384,45
1781.899,-4.2384,-4.2384,45
1781.907,-4.2384,-4.2384,45
1781.916,-4.2384,-4.2384,45
1781.924,-4.2384,-4.2384,45
1781.932,-4.2384,-4.2384,45
1781.94,-4.2384,-4.2384,45
1781.949,-4.2384,-4.2384,45
1781.957,-4.2384,-4.2384,45
1781.965,-4.2384,-4.2384,45
1781.974,-4.2384,-4.2384,45
1781.982,-4.2384,-4.2384,45
1781.991,-4.2384,-4.2384,45
1781.999,-4.2384,-4.2384,45
1782.008,-4.2384,-4.2384,44.9806
1782.017,-4.2384,-4.2384,44.9346
1782.026,-4.2384,-4.2384,44.8776
1782.035,-4.2384,-4.2384,44.7901
1782.044,-4.2384,-4.2384,44.6953
1782.052,-4.2384,-4.2384,44.5827
1782.06,-4.2384,-4.2384,44.4525
1782.069,-4.2384,-4.2384,44.3028
1782.077,-4.2384,-4.2384,44.1296
1782.086,-4.2384,-4.2384,43.9454
1782.094,-4.2384,-4.2384,43.7435
1782.103,-4.2384,-4.2384,43.5049
1782.111,-4.2383,-4.2383,43.2662
1782.12,-4.2383,-4.2383,43.0097
1782.128,-4.2383,-4.2383,42.7355
1782.136,-4.2383,-4.2383,42.4386
1782.145,-4.2383,-4.2383,42.1287
1782.153,-4.2383,-4.2383,41.8011
1782.162,-4.239,-4.2375,41.4408
1782.171,-4.2399,-4.2366,41.0551
1782.18,-4.2408,-4.2356,40.634
1782.188,-4.2418,-4.2346,40.2253
1782.197,-4.2429,-4.2334,39.7769
1782.205,-4.244,-4.2322,39.3381
1782.214,-4.2452,-4.2309,38.8817
1782.222,-4.2465,-4.2295,38.4075
1782.23,-4.2479,-4.228,37.9156
1782.239,-4.2494,-4.2263,37.395
1782.247,-4.251,-4.2246,36.8674
1782.256,-4.2528,-4.2226,36.2936
1782.266,-4.2549,-4.2204,35.6545
1782.274,-4.2568,-4.2182,35.0706
1782.282,-4.2589,-4.216,34.4689
1782.291,-4.261,-4.2136,33.8495
1782.299,-4.2634,-4.211,33.1903
1782.309,-4.2663,-4.2077,32.3918
1782.319,-4.2695,-4.2041,31.5572
1782.33,-4.273,-4.2002,30.6641
1782.341,-4.2768,-4.196,29.753
1782.352,-4.2809,-4.1914,28.8192
1782.36,-4.2841,-4.1878,28.1088
1782.369,-4.2876,-4.1838,27.3618
1782.377,-4.2911,-4.1799,26.6535
1782.385,-4.2948,-4.1756,25.9451
1782.395,-4.2991,-4.1706,25.1661
1782.403,-4.3031,-4.1656,24.4578
1782.411,-4.3074,-4.1602,23.7494
1782.42,-4.3118,-4.1544,23.0411
1782.428,-4.3165,-4.148,22.3204
1782.437,-4.3213,-4.1413,21.6071
1782.445,-4.3261,-4.1342,20.8987
1782.454,-4.3317,-4.1257,20.1061
1782.463,-4.3367,-4.1176,19.3977
1782.471,-4.342,-4.1087,18.6612
1782.479,-4.3472,-4.0996,17.9529
1782.488,-4.3523,-4.0899,17.2445
1782.498,-4.3583,-4.0781,16.4434
1782.506,-4.3637,-4.0667,15.7307
1782.515,-4.3686,-4.0554,15.0786
1782.523,-4.3735,-4.0436,14.4452
1782.532,-4.3785,-4.0306,13.7907
1782.54,-4.3829,-4.0178,13.1939
1782.549,-4.3872,-4.0045,12.6103
