time,pos_x,pos_z,rot_y
1772.689,-4.5,-4.5,45
1772.705,-4.3979,-4.3979,45
1772.716,-4.3821,-4.3821,45
1772.726,-4.3678,-4.3678,45
1772.735,-4.3557,-4.3557,45
1772.743,-4.3439,-4.3439,45
1772.752,-4.3321,-4.3321,45
1772.76,-4.3203,-4.3203,45
1772.768,-4.3086,-4.3086,45
1772.779,-4.2939,-4.2939,45
1772.788,-4.2803,-4.2803,45
1772.797,-4.2685,-4.2685,45
1772.805,-4.2567,-4.2567,45
1772.813,-4.2449,-4.2449,45
1772.822,-4.2384,-4.2384,45
1772.83,-4.2384,-4.2384,45
1772.838,-4.2384,-4.2384,45
1772.847,-4.2384,-4.2384,45
1772.855,-4.2384,-4.2384,45
1772.864,-4.2384,-4.2384,45
1772.873,-4.2384,-4.2384,45
1772.881,-4.2384,-4.2384,45
1772.89,-4.2384,-4.2384,45
1772.898,-4.2384,-4.2384,45
1772.906,-4.2384,-4.2384,45
1772.915,-4.2384,-4.2384,45
1772.923,-4.2384,-4.2384,45
1772.931,-4.2384,-4.2384,45
1772.94,-4.2384,-4.2384,45
1772.949,-4.2384,-4.2384,45
1772.957,-4.2384,-4.2384,45
1772.966,-4.2384,-4.2384,45
1772.974,-4.2384,-4.2384,45
1772.983,-4.2384,-4.2384,45
1772.991,-4.2384,-4.2384,45
1772.999,-4.2384,-4.2384,45
1773.008,-4.2384,-4.2384,45
1773.016,-4.2384,-4.2384,45
1773.025,-4.2384,-4.2384,45
1773.033,-4.2384,-4.2384,45
1773.041,-4.2384,-4.2384,45
1773.05,-4.2384,-4.2384,45
1773.059,-4.2384,-4.2384,45.0191
1773.067,-4.2384,-4.2384,45.0552
1773.075,-4.2384,-4.2384,45.1097
1773.084,-4.2384,-4.2384,45.1813
1773.092,-4.2384,-4.2384,45.2707
1773.101,-4.2384,-4.2384,45.3855
1773.109,-4.2384,-4.2384,45.5115
1773.117,-4.2384,-4.2384,45.6551
1773.126,-4.2384,-4.2384,45.8165
1773.134,-4.2384,-4.2384,45.9955
1773.142,-4.2384,-4.2384,46.1922
1773.151,-4.2384,-4.2384,46.4067
1773.159,-4.2383,-4.2383,46.6388
1773.167,-4.2383,-4.2383,46.8887
1773.177,-4.2383,-4.2383,47.1798
1773.186,-4.2383,-4.2383,47.5009
1773.194,-4.2383,-4.2383,47.8074
1773.202,-4.2383,-4.2383,48.1316
1773.211,-4.2376,-4.239,48.4735
1773.219,-4.2367,-4.2397,48.8331
1773.227,-4.2358,-4.2406,49.2106
1773.236,-4.2348,-4.2415,49.6224
1773.244,-4.2338,-4.2425,50.0358
1773.255,-4.2322,-4.244,50.5935
1773.263,-4.231,-4.2452,51.0474
1773.272,-4.2295,-4.2465,51.527
1773.28,-4.228,-4.2479,52.0166
1773.289,-4.2264,-4.2493,52.5244
1773.297,-4.2247,-4.2509,53.0494
1773.307,-4.2225,-4.253,53.7077
1773.318,-4.2199,-4.2553,54.4368
