time,pos_x,pos_z,rot_y
1798.377,-4.5,-4.5,45
1798.39,-4.5,-4.5,45
1798.398,-4.5,-4.5,45
1798.406,-4.5,-4.5,45
1798.415,-4.5,-4.5,45
1798.423,-4.5,-4.5,45
1798.433,-4.5,-4.5,45
1798.442,-4.5,-4.5,45
1798.452,-4.5,-4.5,45
1798.46,-4.5,-4.5,45
1798.469,-4.5,-4.5,45
1798.477,-4.5,-4.5,45
1798.486,-4.5,-4.5,45
1798.495,-4.5,-4.5,45
1798.503,-4.5,-4.5,45
1798.512,-4.5,-4.5,45
1798.52,-4.5,-4.5,45
1798.528,-4.5,-4.5,45
1798.536,-4.5,-4.5,45
1798.545,-4.5,-4.5,45
1798.553,-4.5,-4.5,45
1798.562,-4.5,-4.5,45
1798.57,-4.5,-4.5,45
1798.578,-4.5,-4.5,45
1798.587,-4.5,-4.5,45
1798.595,-4.5,-4.5,45
1798.604,-4.5,-4.5,45
1798.612,-4.5,-4.5,45
1798.62,-4.5,-4.5,45
1798.637,-4.5,-4.5,45
1798.645,-4.5,-4.5,45
1798.653,-4.5,-4.5,45
1798.662,-4.5,-4.5,45
1798.67,-4.5,-4.5,45
1798.678,-4.5,-4.5,45
1798.687,-4.5,-4.5,45
1798.695,-4.5,-4.5,45
1798.703,-4.5,-4.5,45
1798.712,-4.5,-4.5,45
1798.721,-4.5,-4.5,45
1798.729,-4.5,-4.5,45
1798.738,-4.5,-4.5,45
1798.746,-4.5,-4.5,45
1798.754,-4.5,-4.5,45
1798.763,-4.5,-4.5,45
1798.771,-4.5,-4.5,45
1798.779,-4.5,-4.5,45
1798.788,-4.5,-4.5,45
1798.796,-4.5,-4.5,45
1798.804,-4.5,-4.5,45
1798.813,-4.5,-4.5,45
1798.821,-4.5,-4.5,45
1798.83,-4.5,-4.5,45
1798.838,-4.5,-4.5,45
1798.846,-4.5,-4.5,45
1798.855,-4.5,-4.5,45
1798.863,-4.5,-4.5,45
1798.872,-4.5,-4.5,45
1798.881,-4.4981,-4.4981,45
1798.89,-4.4951,-4.4951,45
1798.898,-4.4914,-4.4914,45
1798.906,-4.4868,-4.4868,45
1798.915,-4.4808,-4.4808,45
1798.924,-4.4743,-4.4743,45
1798.932,-4.467,-4.467,45
1798.94,-4.4588,-4.4588,45
1798.949,-4.4497,-4.4497,45
1798.957,-4.4396,-4.4396,45
1798.965,-4.4288,-4.4288,45
1798.974,-4.417,-4.417,45
1798.982,-4.4052,-4.4052,45
1798.99,-4.3934,-4.3934,45
1798.999,-4.3815,-4.3815,45
1799.007,-4.3697,-4.3697,45
1799.016,-4.358,-4.358,45
1799.024,-4.3462,-4.3462,45
1799.032,-4.3344,-4.3344,45
1799.041,-4.3226,-4.3226,45
1799.049,-4.3108,-4.3108,45
1799.057,-4.299,-4.299,45
1799.066,-4.2872,-4.2872,45
1799.074,-4.2755,-4.2755,45
1799.082,-4.2637,-4.2637,45
1799.091,-4.2514,-4.2514,45
1799.099,-4.2396,-4.2397,45
1799.108,-4.2279,-4.2279,45
1799.116,-4.2161,-4.2161,45
1799.125,-4.2036,-4.2036,45.0197
1799.134,-4.1907,-4.1907,45.0616
1799.142,-4.1789,-4.179,45.1174
1799.151,-4.1671,-4.1672,45.191
1799.159,-4.1552,-4.1555,45.2824
1799.167,-4.143,-4.1434,45.3951
1799.176,-4.1302,-4.1309,45.5334
1799.185,-4.1173,-4.1183,45.6933
1799.195,-4.1037,-4.1051,45.8838
1799.203,-4.0916,-4.0935,46.0706
1799.212,-4.0796,-4.0819,46.274
1799.22,-4.0675,-4.0704,46.4955
1799.228,-4.0553,-4.059,46.7355
1799.237,-4.0431,-4.0476,46.992
1799.245,-4.0304,-4.0359,47.2758
1799.254,-4.018,-4.0245,47.5724
1799.262,-4.0054,-4.0132,47.8889
1799.271,-3.993,-4.0021,48.2175
1799.279,-3.9805,-3.991,48.5637
1799.287,-3.9679,-3.98,48.9289
1799.296,-3.9552,-3.9692,49.3114
1799.304,-3.9415,-3.9575,49.744
1799.314,-3.927,-3.9455,50.2198
1799.324,-3.911,-3.9324,50.7687
1799.335,-3.8944,-3.9191,51.3622
1799.344,-3.8806,-3.9083,51.8717
1799.355,-3.8619,-3.894,52.5918
1799.364,-3.848,-3.8836,53.1405
1799.373,-3.834,-3.8733,53.7086
1799.382,-3.8197,-3.863,54.306
1799.391,-3.8036,-3.8518,54.9964
1799.4,-3.7898,-3.8423,55.6006
1799.408,-3.776,-3.8331,56.2217
1799.416,-3.762,-3.824,56.8604
1799.425,-3.748,-3.815,57.5168
1799.433,-3.7338,-3.8062,58.191
1799.442,-3.7191,-3.7974,58.9032
1799.455,-3.6963,-3.7842,60.0203
1799.463,-3.6818,-3.7761,60.7286
1799.471,-3.6672,-3.7681,61.437
1799.48,-3.6524,-3.7603,62.1453
1799.488,-3.6376,-3.7527,62.8537
1799.496,-3.6227,-3.7453,63.562
1799.505,-3.6077,-3.7381,64.2704
1799.514,-3.5918,-3.7307,65.0131
1799.522,-3.5766,-3.7238,65.7215
1799.53,-3.5614,-3.7172,66.4298
1799.539,-3.546,-3.7107,67.1382
1799.547,-3.5306,-3.7044,67.8466
1799.555,-3.515,-3.6983,68.5549
1799.564,-3.4995,-3.6924,69.2633
1799.572,-3.4838,-3.6867,69.9716
1799.58,-3.4681,-3.6812,70.68
1799.589,-3.4523,-3.6759,71.3883
1799.597,-3.4364,-3.6707,72.0971
1799.605,-3.4205,-3.6658,72.8055
1799.614,-3.4043,-3.661,73.5232
1799.623,-3.3869,-3.6561,74.2691
1799.632,-3.3695,-3.6515,74.9924
1799.64,-3.3534,-3.6473,75.6447
1799.648,-3.337,-3.6433,76.2868
1799.657,-3.3208,-3.6396,76.9036
1799.666,-3.3033,-3.6357,77.5466
1799.674,-3.287,-3.6323,78.1263
1799.682,-3.2706,-3.629,78.6886
1799.691,-3.2542,-3.6259,79.2332
1799.699,-3.2378,-3.6229,79.76
1799.707,-3.2214,-3.6201,80.2692
1799.716,-3.205,-3.6174,80.7606
1799.724,-3.1885,-3.6149,81.2343
1799.732,-3.172,-3.6125,81.6903
1799.741,-3.1555,-3.6102,82.1286
1799.749,-3.1388,-3.608,82.5536
1799.758,-3.1222,-3.606,82.9563
1799.766,-3.1057,-3.604,83.3413
1799.774,-3.0891,-3.6022,83.7085
1799.782,-3.0725,-3.6005,84.0582
1799.791,-3.0555,-3.5988,84.3986
1799.799,-3.0389,-3.5973,84.7123
1799.808,-3.0223,-3.5958,85.0082
1799.816,-3.0053,-3.5944,85.2927
1799.825,-2.9887,-3.5931,85.5528
1799.833,-2.972,-3.5919,85.7952
1799.841,-2.9554,-3.5908,86.0199
1799.85,-2.9388,-3.5897,86.2268
1799.858,-2.9222,-3.5886,86.4161
1799.866,-2.9055,-3.5876,86.5876
1799.875,-2.8889,-3.5867,86.7415
1799.883,-2.8722,-3.5858,86.8776
1799.892,-2.8545,-3.5848,87.0027
1799.901,-2.8356,-3.5839,87.1128
1799.91,-2.8182,-3.583,87.195
1799.918,-2.8016,-3.5822,87.2559
1799.927,-2.7849,-3.5815,87.2992
1799.935,-2.7683,-3.5807,87.3247
1799.943,-2.7516,-3.5799,87.3325
1799.952,-2.7347,-3.5791,87.3325
1799.96,-2.7181,-3.5783,87.3325
1799.969,-2.7014,-3.5776,87.3325
1799.986,-2.666,-3.5759,87.3325
1799.995,-2.6491,-3.5751,87.3325
1800.003,-2.6324,-3.5743,87.3325
1800.013,-2.613,-3.5734,87.3084
1800.021,-2.5957,-3.5726,87.2677
1800.03,-2.579,-3.5718,87.2109
1800.038,-2.5624,-3.571,87.1364
1800.047,-2.5453,-3.5701,87.0416
1800.055,-2.5287,-3.5692,86.9312
1800.063,-2.5121,-3.5683,86.8031
1800.072,-2.4954,-3.5673,86.6574
1800.08,-2.4788,-3.5663,86.4939
1800.088,-2.4622,-3.5652,86.3127
1800.097,-2.4455,-3.5641,86.1138
1800.105,-2.4289,-3.5629,85.8972
1800.113,-2.4135,-3.5617,85.6627
1800.122,-2.3993,-3.5606,85.4106
1800.13,-2.3864,-3.5595,85.1409
1800.139,-2.3738,-3.5583,84.8239
1800.148,-2.3632,-3.5573,84.5084
1800.157,-2.3535,-3.5563,84.152
1800.165,-2.3459,-3.5555,83.8077
1800.174,-2.3393,-3.5547,83.4323
1800.182,-2.3342,-3.5541,83.0519
1800.191,-2.3301,-3.5536,82.6167
1800.199,-2.3276,-3.5532,82.1993
1800.209,-2.3264,-3.5531,81.7095
1800.218,-2.3264,-3.5531,81.2168
1800.226,-2.3264,-3.5531,80.7426
1800.235,-2.3264,-3.5531,80.193
1800.244,-2.3264,-3.5531,79.6815
1800.255,-2.3242,-3.5526,78.9702
1800.266,-2.32,-3.5518,78.244
1800.275,-2.315,-3.5507,77.6101
1800.283,-2.3089,-3.5493,76.9869
1800.292,-2.3015,-3.5474,76.3375
1800.301,-2.2932,-3.5453,75.705
1800.312,-2.2798,-3.5417,74.8177
1800.321,-2.2677,-3.5382,74.0797
1800.332,-2.2504,-3.533,73.1285
1800.341,-2.2357,-3.5283,72.3811
1800.349,-2.2206,-3.5233,71.6727
1800.358,-2.2049,-3.5179,70.9644
1800.366,-2.1892,-3.5123,70.256
1800.375,-2.173,-3.5062,69.5219
1800.383,-2.1575,-3.5002,68.8135
1800.392,-2.1409,-3.4936,68.0564
1800.4,-2.1256,-3.4871,67.3481
1800.41,-2.1085,-3.4797,66.5564
1800.418,-2.0933,-3.4729,65.848
1800.426,-2.0781,-3.4659,65.1397
1800.435,-2.0627,-3.4585,64.4133
1800.443,-2.0478,-3.4511,63.7049
1800.452,-2.0329,-3.4436,62.9966
1800.46,-2.0176,-3.4355,62.2629
1800.469,-2.003,-3.4276,61.5546
1800.477,-1.9884,-3.4195,60.8462
1800.485,-1.974,-3.4112,60.1379
1800.493,-1.9596,-3.4027,59.4295
1800.502,-1.9454,-3.394,58.7212
1800.51,-1.9312,-3.3852,58.0128
1800.518,-1.9172,-3.3762,57.3044
1800.527,-1.9033,-3.367,56.5961
1800.535,-1.8895,-3.3577,55.8877
1800.544,-1.8756,-3.348,55.1665
1800.552,-1.8614,-3.3378,54.425
1800.561,-1.8475,-3.3277,53.6936
1800.57,-1.8338,-3.3173,52.9606
1800.578,-1.8206,-3.3071,52.2522
1800.586,-1.8075,-3.2967,51.5439
1800.595,-1.7946,-3.2862,50.8355
1800.603,-1.7818,-3.2755,50.1271
1800.611,-1.7691,-3.2646,49.4188
1800.62,-1.7566,-3.2536,48.7099
1800.628,-1.7442,-3.2425,48.0006
1800.636,-1.732,-3.2312,47.2923
1800.645,-1.7199,-3.2197,46.584
1800.653,-1.7079,-3.2081,45.8756
1800.661,-1.6961,-3.1964,45.1672
1800.67,-1.6844,-3.1845,44.4589
1800.678,-1.6729,-3.1724,43.7505
1800.686,-1.6615,-3.1602,43.0421
1800.695,-1.6503,-3.1479,42.3338
1800.703,-1.6392,-3.1355,41.6253
1800.711,-1.6283,-3.1229,40.9167
1800.72,-1.6173,-3.1099,40.1967
1800.728,-1.6067,-3.097,39.4883
1800.736,-1.5963,-3.0841,38.78
1800.745,-1.586,-3.0709,38.0716
1800.755,-1.5741,-3.0552,37.2342
1800.763,-1.5642,-3.0419,36.5258
1800.771,-1.5544,-3.0283,35.8174
1800.781,-1.5438,-3.0132,35.0329
1800.789,-1.5344,-2.9995,34.3245
1800.797,-1.5249,-2.9851,33.5916
1800.806,-1.5159,-2.9711,32.8834
1800.816,-1.5046,-2.953,31.9766
1800.825,-1.4959,-2.9388,31.2682
1800.833,-1.4874,-2.9244,30.5599
1800.841,-1.4791,-2.9099,29.8515
1800.851,-1.4694,-2.8925,29.0026
1800.86,-1.4615,-2.8778,28.2941
1800.868,-1.4538,-2.863,27.5859
1800.876,-1.4463,-2.8482,26.8774
1800.887,-1.4374,-2.8299,26.0162
1800.895,-1.4303,-2.8149,25.3078
1800.903,-1.4233,-2.7997,24.5993
1800.913,-1.4156,-2.7822,23.7867
1800.921,-1.4091,-2.7669,23.0783
1800.929,-1.4027,-2.7515,22.37
1800.938,-1.3966,-2.736,21.6616
1800.947,-1.39,-2.7186,20.8708
1800.955,-1.3842,-2.703,20.1624
1800.964,-1.3787,-2.6872,19.4541
1800.972,-1.3733,-2.6714,18.7453
1800.982,-1.3672,-2.6526,17.9048
1800.99,-1.3623,-2.6367,17.1964
1800.999,-1.3574,-2.6201,16.4595
1801.008,-1.3526,-2.6032,15.7358
1801.018,-1.3476,-2.5842,14.9443
1801.026,-1.3434,-2.5677,14.2792
1801.034,-1.3394,-2.5515,13.6462
1801.043,-1.3357,-2.5352,13.0309
1801.052,-1.3317,-2.5169,12.3604
1801.061,-1.3282,-2.5006,11.7827
1801.069,-1.325,-2.4842,11.2228
1801.078,-1.3218,-2.467,10.6516
1801.086,-1.3188,-2.4506,10.1283
1801.094,-1.316,-2.4341,9.6225
1801.103,-1.3134,-2.4177,9.1344
1801.111,-1.3109,-2.4012,8.664
1801.119,-1.3085,-2.3847,8.2113
1801.128,-1.3062,-2.3682,7.7763
1801.136,-1.3041,-2.3517,7.359
1801.144,-1.3021,-2.3351,6.9594
1801.153,-1.3002,-2.3186,6.5775
1801.161,-1.2984,-2.302,6.2134
1801.169,-1.2967,-2.2852,5.8627
1801.178,-1.295,-2.2682,5.5261
1801.186,-1.2935,-2.2516,5.2159
1801.195,-1.2921,-2.235,4.9232
1801.203,-1.2907,-2.2183,4.6482
1801.212,-1.2894,-2.2008,4.3777
1801.221,-1.2881,-2.1826,4.118
1801.229,-1.2869,-2.1659,3.8989
1801.238,-1.2858,-2.1493,3.6975
1801.246,-1.2848,-2.1327,3.5138
1801.254,-1.2839,-2.116,3.3479
1801.263,-1.2829,-2.0984,3.1921
1801.271,-1.282,-2.0818,3.0626
1801.28,-1.2811,-2.0651,2.9507
1801.288,-1.2803,-2.0485,2.8565
1801.296,-1.2795,-2.0318,2.7801
1801.307,-1.2785,-2.0117,2.7137
